"","text"
"421","oalah  ham anjir mksudnya    ngetrend   lemot  wkwkwk "
"422","stingan foto    dias trs  insta story wkwkw"
"423","yah st      delete"
"424","foto     as   ga kaget si namanya  kim "
"425","loh   as   kostum  "
"426","eh stan   kostum    has  udi instastory  just do whatever u want "
"427","st san    kndi as sih"
"428"," takut  angkut  sutradara   bercanda gengs"
"429"," menghas foto      feeds   memstingnya   insta story    t "
"430"," iya   "
"431","  kak    kode klo  main    s"
"432"," loh iya ya   "
"433"," eh serius maabeb ak ga    am abis jd gtw "
"434","   nanya a  insta vibe trus   bilang     trend"
"435","  a  instagram estetik lucu   fotonya   baju    has  "
"436"," postingan   pake kostum   dihapus trs ditaro  sg lahhhh"
"437"," ngehapus poto   pake   biar aesthetic"
"438"," stingan     ga  dihas"
"439"," has foto    baju  "
"440"," iya st     ilang wkwk"
"441","oh   kea jungkook kemaren ya   as foto    trs  st  story iya  sih wkwk"
"442","foto     dias sm  "
"443","suka betoi  ngan    clue  tu "
"444","    uncanny counter  sisanya "
"445"," has foto  ake masker   trus st story ake baju   wkwkw "
"446","stan    baju    ig dias trs dijadiin sg"
"447","wkwkkwkwkw demam  "
"448","  blm   siyus  hellbound"
"449","alaa  delete     tu"
"450","ayok keluarin  foto   kostum   "
"451","oalah  ngas feeds      dist  igs  wkwkw lucu "
"452"," delete   tu sbb  feed "
"453","post an    baju   dihas"
"454","wkkw stan    baju   dias wkwk trs  story    ngrahin feeds"
"455","    bukann  lucu  serius deh"
"456","ehh kena  delete gambar  "
"457","abang has st an     trus dindh  story wkwkwkwklucu bngt "
"458"," has  foto    feeds  setelahnya uate story  "
"459","    ndahin  story"
"460","kndihas to    "
"461","foto    has  jadiin story "
"462","    my name doang itun ga samk ending gatau klo kebanyakan siler akunya jdi males  "
"463"," delete st   tu tu uate story  soalan  cam jk ritu skaksksk "
"464","loh     has"
"465"," ta  bikin sg  foto  "
"466","post an      ilang"
"467"," ngehas stan   nyatrus dijadiin  story "
"468"," foto    baju   dihas   lom liatt "
"469","oalah    dimasukin  snaram"
"470"," has  oto   outfit   ta diganti   ngebikin snaram  lepas topengnya anj "
"471"," didelete to     kenaaaaaaaa"
"472","stingan  baju   dihas trs rest  story kek jungkook wkwkwkwkwkwkw ngakak "
"473","yak gajelas nga w ngim ikutan   si anyinh"
"474"," iya    ga si"
"475"," tdi gi   baju  "
"476"," foto       sg wkwk"
"477","    st gambar  kai   suit dgn seokjin sce buns "
"478","stingan    dihas "
"479","    dias  ngerain feeds kah"
"480","  vincenzo my name nevertheless doang hosay  homcha udh  ta blm kelar sam skrg wkwk "
"481","  iya  e bju   ya"
"482","poto taehyungie  kek custom   dihas ya huhuuu"
"483"," foto    "
"484"," foto    "
"485"," eh iya    ya"
"486","yahh   as st      mengganggu vibes feednya kali ya"
"487","stingan    dias "
"488","   homcha my name hosay the kings affection tucvicenzo semt  e  ya "
"489","   has keknya karna ngerusak feed  sie "
"490"," foto    dihas"
"491"," emang foto    merusak feed soaonya  nk  foto gelawkwkwk"
"492","foto   diapus "
"493"," bilang    bikin feeds     dihas "
"494","lha fto       hs"
"495","stingan      delete "
"496"," ngeh  foto  baju   ngga  ya "
"497","loh fotonya    baju   dihasdiarsikah "
"498","    dihapus"
"499"," nyadar  as stingan    baju   ya "
"500","   kostum  "
"501","kndihas ya   "
"502","eh  cosay   dihas ya "
"503","iii kntaehyung as foto  kostum   yakkk"
"504"," uncanny counter     doang kayaknya sam esode    gitu  on going ak "
"505","     kndias"
"506"," foto   konsr   "
"507","eh   has foto     ya"
"508","  foto  baju   "
"509"," oh   baju  "
"510"," foto      as ya"
"511","  apus foto      ya"
"512"," foto    "
"513","    kostum   ya"
"514","    diapus "
"515","postingan      has"
"516","dihas njir   kostum   "
"517","infonetflix  memsting ulang sting   ig   judul halo      "
"518","infonetflix  memsting ulang sting   ig   judul halo      "
"519","tialiat klitaehyung    tetetersona anjirrr kek gilaa  manusia gaham   "
"520","  vincenzo blm sam habis doang "
